natx =      603
    x       y        z       iph  
     -1.75633     11.03030     -4.36855   3     11.99318
      2.47512    -11.03030     -4.01819   3     11.99748
      2.47512     11.03030     -4.01819   3     11.99748
      1.09060     -1.57576     -0.85275   2      2.09752
      1.09060      1.57576     -0.85275   2      2.09752
      1.23827      0.00000      1.71312   2      2.11379
     -2.08067     -1.57576     -0.04497   1      2.61041
     -2.08067      1.57576     -0.04497   1      2.61041
      2.18551      0.00000     -1.46755   3      2.63252
     -0.02897     -1.57576     -2.44913   3      2.91240
     -0.02897      1.57576     -2.44913   3      2.91240
      2.32503     -1.57576      0.85860   3      2.93700
      2.32503      1.57576      0.85860   3      2.93700
      0.10644     -1.57576      2.53657   3      2.98807
      0.10644      1.57576      2.53657   3      2.98807
     -2.32242      0.00000     -1.95955   3      3.03866
      0.00000     -3.15151      0.00000   3      3.15151
      0.00000      3.15151      0.00000   3      3.15151
     -0.79623      0.00000     -3.38366   2      3.47608
     -3.35589      0.00000      1.39672   3      3.63494
      1.23827     -3.15151      1.71312   2      3.79475
      1.23827      3.15151      1.71312   2      3.79475
     -1.81992      0.00000      3.54721   1      3.98683
      2.18551     -3.15151     -1.46755   3      4.10636
      2.18551      3.15151     -1.46755   3      4.10636
      2.42478      0.00000      3.34874   3      4.13444
      4.34750      0.00000     -0.04952   1      4.34778
     -2.32242     -3.15151     -1.95955   3      4.37784
     -2.32242      3.15151     -1.95955   3      4.37784
      3.29673      0.00000     -3.13902   2      4.55213
     -3.28263     -1.57576     -2.92094   2      4.66804
     -3.28263      1.57576     -2.92094   2      4.66804
     -0.79623     -3.15151     -3.38366   2      4.69203
     -0.79623      3.15151     -3.38366   2      4.69203
      1.46519     -1.57576      4.24129   2      4.75587
      1.46519      1.57576      4.24129   2      4.75587
     -3.35589     -3.15151      1.39672   3      4.81091
     -3.35589      3.15151      1.39672   3      4.81091
     -4.40457     -1.57576     -1.29929   3      4.85504
     -4.40457      1.57576     -1.29929   3      4.85504
      1.09060     -4.72727     -0.85275   2      4.92582
      1.09060      4.72727     -0.85275   2      4.92582
