natx =      441
    x       y        z       iph  
      5.53324     -5.46814      9.10193   2     11.97341
      8.36106      8.39279      1.76372   2     11.97735
      1.76981     10.47070     -5.54201   3     11.97838
      7.99711      8.74656     -1.75381   2     11.98048
      1.50251      1.50186     -1.91514   3      2.86022
     -0.40167      2.30756      1.75238   3      2.92524
      2.18313      0.97887      1.74335   3      2.96032
      1.40617     -1.32637     -2.26744   3      2.97957
     -2.50337     -2.34800     -0.00345   3      3.43220
     -0.09362      0.08350      3.45059   3      3.45287
      2.81057     -2.37141      0.00512   3      3.67735
     -3.13081      1.00229      1.73478   3      3.71699
     -0.05230      0.36592     -3.77820   3      3.79624
     -0.37551     -3.43681      1.72483   3      3.86364
     -2.24066      2.69525      1.71904   2      3.90385
     -2.21449     -3.04913      1.69149   2      4.13065
     -2.57845     -2.69536     -1.82604   2      4.15305
     -2.52954      3.39637      0.02410   3      4.23491
      2.73549     -2.71877     -1.81747   2      4.26354
      2.78441      3.37296      0.03266   3      4.37388
     -2.60461      3.04902     -1.79849   2      4.39489
      3.07328      2.67183      1.72761   2      4.42361
      2.70933      3.02560     -1.78992   2      4.43830
     -2.54590      0.21197     -3.68537   1      4.48425
     -3.81143      1.52528     -1.92371   3      4.53367
      2.76804      0.18855     -3.67680   1      4.60613
      0.17761     -2.78400     -3.75567   1      4.67838
      3.09945     -3.07254      1.70006   2      4.68373
     -3.90777     -1.30296     -2.27601   3      4.70623
      0.15144      2.96038     -3.72813   1      4.76295
     -2.54745     -2.28767      3.37580   3      4.80822
      1.52868     -4.24251     -1.94269   3      4.91017
      2.76649     -2.31109      3.38437   3      4.94455
      1.38000      4.41800     -2.23989   3      5.14201
     -2.36670      2.76681     -3.75242   3      5.22850
      0.06774      0.11790      5.24325   2      5.24501
     -4.98145      0.55476      1.71464   2      5.29741
     -5.31394      0.02342     -0.00857   3      5.31400
      5.31394     -0.02342      0.00857   3      5.31400
     -2.34054     -2.97757     -3.77996   3      5.35090
     -2.57361      3.45670      3.40335   3      5.49136
      0.35866     -5.21303      1.69567   2      5.49360
      2.94724      2.74339     -3.74385   3      5.49807
      2.20930     -4.76550      1.71580   3      5.52585
     -5.21669      0.10617     -1.83020   2      5.52944
      2.74033      3.43329      3.41191   3      5.56220
      2.97340     -3.00098     -3.77140   3      5.66308
      1.89181      1.33971      5.18760   3      5.68199
      4.91227      2.28414      1.76094   3      5.69637
      5.41119      0.05934     -1.81306   2      5.70716
      0.17149      0.22814     -5.70204   2      5.70918
      0.02617     -5.74437     -0.02754   3      5.74450
     -0.02617      5.74437      0.02754   3      5.74450
     -3.10464     -4.74208      1.70724   3      5.91953
      5.64644      0.50792      1.73178   2      5.92784
      0.12342     -5.66162     -1.84918   2      5.95723
      1.82214     -1.01801     -5.59709   3      5.97360
     -3.78526     -4.21910     -1.95125   3      5.99470
