 # r       w_scrn(r)      v_ch(r)
    0.6376280300E+00    0.1471171953E+00    0.1567537671E+01
    0.6703199182E+00    0.1117339624E+00    0.1491338508E+01
    0.7046879553E+00    0.8185231063E-01    0.1418768261E+01
    0.7408180794E+00    0.5712824412E-01    0.1349678201E+01
    0.7788006345E+00    0.3719745488E-01    0.1283918596E+01
    0.8187305969E+00    0.2165924216E-01    0.1221340837E+01
    0.8607078123E+00    0.1010236932E-01    0.1161799058E+01
    0.9048372455E+00    0.2095101561E-02    0.1105151316E+01
    0.9512292431E+00   -0.2793565837E-02    0.1051260386E+01
    0.9999998093E+00   -0.4998620099E-02    0.9999942623E+00
    0.1051270896E+01   -0.4943518633E-02    0.9512264161E+00
    0.1105170707E+01   -0.3040640065E-02    0.9048358828E+00
    0.1161834021E+01    0.3187770236E-03    0.8607072255E+00
    0.1221402525E+01    0.4766701881E-02    0.8187304152E+00
    0.1284025172E+01    0.9963163688E-02    0.7788006611E+00
    0.1349858550E+01    0.1559971826E-01    0.7408182109E+00
    0.1419067278E+01    0.2140011789E-01    0.7046881378E+00
    0.1491824413E+01    0.2712367000E-01    0.6703201234E+00
    0.1568311886E+01    0.3256329790E-01    0.6376282431E+00
    0.1648720956E+01    0.3754803912E-01    0.6065307572E+00
    0.1733252687E+01    0.4193969061E-01    0.5769499094E+00
    0.1822118453E+01    0.4563349946E-01    0.5488117341E+00
    0.1915540464E+01    0.4855562287E-01    0.5220458724E+00
    0.2013752323E+01    0.5066024327E-01    0.4965853963E+00
    0.2116999613E+01    0.5192764142E-01    0.4723666417E+00
    0.2225540504E+01    0.5243504578E-01    0.4493290493E+00
    0.2339646406E+01    0.5221959576E-01    0.4274150134E+00
    0.2459602642E+01    0.5134012706E-01    0.4065697374E+00
    0.2585709166E+01    0.4987519207E-01    0.3867410974E+00
    0.2718281310E+01    0.4792017554E-01    0.3678795116E+00
