natx =      464
    x       y        z       iph  
     -0.11201      0.10527     -3.61965   3      3.62291
     -2.60571      2.70385     -0.00889   3      3.75508
     -2.60589     -2.70412      0.00727   3      3.75539
      2.60617     -2.70394      0.00734   3      3.75546
      2.60635      2.70403     -0.00883   3      3.75565
     -0.12795      0.12459      4.03746   3      4.04141
     -3.90869      1.35185     -0.00482   2      4.13586
      3.90932     -1.35182      0.00338   2      4.13645
     -1.28392     -1.34517     -3.81601   2      4.24498
      1.27358      1.35735     -3.81633   2      4.24603
      1.33271      1.34662      3.80699   2      4.25237
     -1.30256      4.05597     -0.01285   2      4.26001
      1.30319     -4.05593      0.01141   2      4.26016
     -1.33174     -1.35741      3.81504   2      4.26270
      2.49471     -0.10964      3.61549   3      4.39401
      0.09894     -2.59981     -3.63289   3      4.46841
     -2.71735     -0.10982      3.61542   3      4.52408
      0.09912      2.80815     -3.64905   3      4.60555
      2.47538     -0.12147     -4.03073   3      4.73171
      0.12899     -2.57868      4.05303   3      4.80555
     -2.73668     -0.12165     -4.03080   3      4.87356
      0.12917      2.82929      4.03686   3      4.93131
     -2.49542      2.59542      3.61849   3      5.10459
     -5.21206     -0.00018     -0.00006   3      5.21206
      5.21206      0.00018      0.00006   3      5.21206
      2.71664      2.59559      3.61855   3      5.21643
     -2.49560     -2.81255      3.63465   3      5.22964
      2.71646     -2.81237      3.63472   3      5.33852
     -2.48233      2.57917     -4.05147   3      5.40634
     -0.00018     -5.40796      0.01617   3      5.40798
      0.00018      5.40796     -0.01617   3      5.40798
     -2.48251     -2.82879     -4.03530   3      5.51802
      2.72973      2.57935     -4.05140   3      5.52434
     -3.87936      1.34644      3.80693   2      5.59956
      3.88032     -1.35723      3.81510   2      5.60838
     -3.90887     -4.05611      0.01134   2      5.63307
      2.72955     -2.82861     -4.03524   3      5.63335
      3.90950      4.05615     -0.01279   2      5.63353
      3.92814     -1.34499     -3.81595   2      5.63922
     -3.93848      1.35717     -3.81639   2      5.64963
      1.27340     -4.05062     -3.80016   2      5.69827
     -1.33156      4.05056      3.79887   2      5.71065
     -1.28374      4.06279     -3.83218   2      5.73061
      1.33252     -4.06135      3.82315   2      5.73469
     -5.21183      2.70376     -0.00812   3      5.87142
      5.21211     -2.70384      0.00817   3      5.87170
     -5.21202     -2.70420      0.00805   3      5.87179
      5.21229      2.70412     -0.00799   3      5.87199
     -1.24822      1.14609     -5.70929   1      5.95547
      1.35384     -1.14102      5.71026   1      5.97845
     -2.60576      5.40771     -0.01710   3      6.00280
      2.60594     -5.40804      0.01530   3      6.00317
      2.60630      5.40789     -0.01704   3      6.00320
     -2.60612     -5.40822      0.01523   3      6.00341
      1.26430     -1.55266     -5.71020   1      6.05108
     -1.34113      1.55299      5.70894   1      6.06650
      5.10006      0.10545     -3.61959   3      6.25485
     -0.11219     -5.30269     -3.60349   3      6.41220
     -5.32407      0.10509     -3.61972   3      6.43888
      5.08411      0.12477      4.03752   3      6.49348
     -0.11183      5.51324     -3.63582   3      6.60511
     -6.51480     -1.35218      0.00325   2      6.65365
      6.51543      1.35221     -0.00470   2      6.65427
     -0.12813     -5.28337      4.05363   3      6.66051
     -5.34001      0.12441      4.03740   3      6.69565
      3.88050      4.05073      3.79894   2      6.77485
     -5.11312     -2.59999     -3.63295   3      6.78987
     -3.87954     -4.06152      3.82309   2      6.79432
     -3.93866     -4.05080     -3.80022   2      6.80909
      3.92832      4.06297     -3.83212   2      6.82822
     -0.12777      5.53256      4.02130   3      6.84079
      2.49489      5.29833      3.59932   3      6.87400
     -5.11294      2.80797     -3.64912   3      6.88062
     -1.30292     -6.75996      0.01948   2      6.88441
      1.30355      6.75999     -0.02093   2      6.88456
      5.31100     -2.59963     -3.63282   3      6.93990
     -2.71717      5.29815      3.59925   3      6.95759
     -3.85822     -1.14120      5.71019   1      6.98530
     -5.08307     -2.57885      4.05296   3      6.99389
      1.26448      3.85530     -5.72637   1      7.01809
      5.31118      2.80833     -3.64899   3      7.02926
     -1.34131     -3.85498      5.72510   1      7.03113
      3.96383      1.14627     -5.70923   1      7.04423
      2.49453     -5.51760      3.63165   3      7.06084
      3.87093      1.55317      5.70900   1      7.07030
     -5.08289      2.82911      4.03680   3      7.08063
      2.47556      5.28649     -4.04690   3      7.10301
     -3.94776     -1.55284     -5.71026   1      7.11359
     -2.71753     -5.51778      3.63159   3      7.14278
      5.34105     -2.57850      4.05309   3      7.18352
     -2.73650      5.28631     -4.04696   3      7.19801
     -1.24841     -4.26187     -5.69313   1      7.22037
      1.35402      4.26695      5.69409   1      7.24313
      2.47520     -5.52944     -4.01457   3      7.26761
      5.34123      2.82947      4.03692   3      7.26852
     -0.19133      0.15940      7.30008   3      7.30433
     -2.73686     -5.52962     -4.01463   3      7.36100
     -5.21188      5.40779     -0.01623   3      7.51054
      5.21188     -5.40779      0.01623   3      7.51054
     -5.21224     -5.40814      0.01610   3      7.51104
      5.21224      5.40814     -0.01610   3      7.51104
      6.48565      1.35752     -3.81626   2      7.64659
     -6.49599     -1.34535     -3.81608   2      7.65312
     -6.51462      4.05579     -0.01291   2      7.67397
      6.51525     -4.05576      0.01147   2      7.67449
      2.41459     -0.15859     -7.29769   3      7.68841
      6.54477      1.34680      3.80705   2      7.69035
     -6.54380     -1.35759      3.81498   2      7.69535
      0.19656     -2.54124      7.30583   3      7.73768
     -3.90851      6.75982     -0.02099   2      7.80846
      3.90914     -6.75978      0.01955   2      7.80874
     -2.79747     -0.15877     -7.29775   3      7.81717
     -7.81801     -0.00044     -0.00100   3      7.81801
      7.81818      0.00010     -0.00081   3      7.81818
      0.19673      2.86673      7.28966   3      7.83556
     -1.28411     -6.75314     -3.79985   2      7.85447
      1.33289      6.75458      3.79082   2      7.85947
      1.27377      6.76531     -3.83249   2      7.87908
     -1.33192     -6.76537      3.83121   2      7.88812
      3.87075     -3.85480      5.72517   1      7.91326
     -3.94758      3.85512     -5.72643   1      7.95219
      1.30376      1.32924      7.78731   2      8.00680
     -1.30284     -1.32907     -7.78865   2      8.00793
     -1.30253     -1.37506      7.79532   2      8.02212
      1.30346      1.37523     -7.79666   2      8.02360
     -3.85804      4.26677      5.69403   1      8.09393
     -2.41032      2.54153     -7.30398   3      8.10044
      0.00041      8.11191     -0.02422   3      8.11195
     -0.00013     -8.11199      0.02428   3      8.11203
      3.96366     -4.26169     -5.69306   1      8.14147
      5.09987     -5.30251     -3.60342   3      8.19206
     -2.41050     -2.86644     -7.28781   3      8.19385
      2.80174      2.54170     -7.30391   3      8.22539
     -7.81777      2.70367     -0.00896   3      8.27209
     -7.81795     -2.70430      0.00721   3      8.27246
      7.81823     -2.70376      0.00740   3      8.27255
      7.81841      2.70420     -0.00877   3      8.27287
     -0.19163      0.20539     -8.28389   3      8.28865
      2.80156     -2.86626     -7.28775   3      8.31718
     -5.32425     -5.30287     -3.60355   3      8.33389
      5.10023      5.51342     -3.63576   3      8.34439
      5.08393     -5.28320      4.05369   3      8.37800
     -5.32389      5.51306     -3.63588   3      8.48276
      7.70677     -0.10946      3.61555   3      8.51343
     -2.60553      8.11181     -0.02506   3      8.52003
      2.60599     -8.11190      0.02350   3      8.52025
     -2.60607     -8.11208      0.02344   3      8.52045
      2.60653      8.11199     -0.02500   3      8.52050
      5.08430      5.53273      4.02136   3      8.52247
     -5.34019     -5.28355      4.05356   3      8.53609
