 # r       w_scrn(r)      v_ch(r)
    0.2592402112E+00    0.1843463873E+01    0.3626803060E+01
    0.2725317411E+00    0.1708092400E+01    0.3483008652E+01
    0.2865047422E+00    0.1575684724E+01    0.3341246303E+01
    0.3011941545E+00    0.1446783911E+01    0.3201936884E+01
    0.3166367090E+00    0.1321896234E+01    0.3065467533E+01
    0.3328710202E+00    0.1201506732E+01    0.2932186713E+01
    0.3499376824E+00    0.1086049877E+01    0.2802400252E+01
    0.3678793710E+00    0.9759289926E+00    0.2676368513E+01
    0.3867409497E+00    0.8714859825E+00    0.2554304767E+01
    0.4065695822E+00    0.7730240692E+00    0.2436374788E+01
    0.4274148504E+00    0.6807772439E+00    0.2322697654E+01
    0.4493288784E+00    0.5949363664E+00    0.2213347663E+01
    0.4723664626E+00    0.5156192299E+00    0.2108357228E+01
    0.4965852091E+00    0.4428983900E+00    0.2007720585E+01
    0.5220456772E+00    0.3767727920E+00    0.1911398099E+01
    0.5488115314E+00    0.3171967196E+00    0.1819320967E+01
    0.5769497003E+00    0.2640541838E+00    0.1731396072E+01
    0.6065305440E+00    0.2171868622E+00    0.1647510806E+01
    0.6376280300E+00    0.1763726304E+00    0.1567537671E+01
    0.6703199182E+00    0.1413519233E+00    0.1491338508E+01
    0.7046879553E+00    0.1118115450E+00    0.1418768261E+01
    0.7408180794E+00    0.8740769125E-01    0.1349678201E+01
    0.7788006345E+00    0.6775606452E-01    0.1283918596E+01
    0.8187305969E+00    0.5245130973E-01    0.1221340837E+01
    0.8607078123E+00    0.4106336791E-01    0.1161799058E+01
    0.9048372455E+00    0.3315224476E-01    0.1105151316E+01
    0.9512292431E+00    0.2827027496E-01    0.1051260386E+01
    0.9999998093E+00    0.2597207826E-01    0.9999942623E+00
    0.1051270896E+01    0.2582112288E-01    0.9512264161E+00
    0.1105170707E+01    0.2739469417E-01    0.9048358828E+00
    0.1161834021E+01    0.3029343070E-01    0.8607072255E+00
    0.1221402525E+01    0.3414144463E-01    0.8187304152E+00
    0.1284025172E+01    0.3859681430E-01    0.7788006611E+00
    0.1349858550E+01    0.4334816730E-01    0.7408182109E+00
    0.1419067278E+01    0.4812492540E-01    0.7046881378E+00
    0.1491824413E+01    0.5269105347E-01    0.6703201234E+00
    0.1568311886E+01    0.5685369096E-01    0.6376282431E+00
    0.1648720956E+01    0.6045666764E-01    0.6065307572E+00
    0.1733252687E+01    0.6338664895E-01    0.5769499094E+00
    0.1822118453E+01    0.6556685861E-01    0.5488117341E+00
    0.1915540464E+01    0.6695968847E-01    0.5220458724E+00
    0.2013752323E+01    0.6756293126E-01    0.4965853963E+00
    0.2116999613E+01    0.6740584449E-01    0.4723666417E+00
    0.2225540504E+01    0.6651940200E-01    0.4493290493E+00
    0.2339646406E+01    0.6499103624E-01    0.4274150134E+00
    0.2459602642E+01    0.6293208715E-01    0.4065697374E+00
    0.2585709166E+01    0.6047366612E-01    0.3867410974E+00
    0.2718281310E+01    0.5776071079E-01    0.3678795116E+00
