natx =      571
    x       y        z       iph  
      6.70065      7.82820     -5.36037   3     11.61521
     -1.08547      0.00000    -11.56500   2     11.61583
     -4.38497     -9.39384     -5.26085   3     11.62535
     -4.38497      9.39384     -5.26085   3     11.62535
     -8.73073     -6.26256      4.45942   3     11.63322
     -8.73073      6.26256      4.45942   3     11.63322
      4.82095     -6.26256      8.56451   3     11.65384
      4.82095      6.26256      8.56451   3     11.65384
     -2.32637     -9.39384      6.50364   3     11.65991
     -2.32637      9.39384      6.50364   3     11.65991
     -2.15359      0.00000     11.45980   3     11.66040
     -8.33967     -1.56564     -8.01918   3     11.67513
     -8.33967      1.56564     -8.01918   3     11.67513
     -6.10836     -6.26256      7.73823   3     11.67955
     -6.10836      6.26256      7.73823   3     11.67955
     -8.46115     -7.82820      1.93134   3     11.68768
     -8.46115      7.82820      1.93134   3     11.68768
      7.03731     -6.26256      6.93955   3     11.70046
      7.03731      6.26256      6.93955   3     11.70046
     -3.97069     -7.82820     -7.74209   3     11.70415
     -3.97069      7.82820     -7.74209   3     11.70415
     -6.38670     -9.39384      2.91835   3     11.72821
     -6.38670      9.39384      2.91835   3     11.72821
     10.94080      0.00000     -4.24555   3     11.73566
      0.12148     -6.26256     -9.95052   3     11.75786
     -0.12148     -6.26256      9.95052   3     11.75786
      0.12148      6.26256     -9.95052   3     11.75786
     -0.12148      6.26256      9.95052   3     11.75786
     10.65540     -4.69692     -1.63879   3     11.75943
     10.65540      4.69692     -1.63879   3     11.75943
      6.75897     -9.39384      2.11967   3     11.76524
      6.75897      9.39384      2.11967   3     11.76524
     -7.29290     -3.13128     -8.69043   2     11.76923
     -7.29290      3.13128     -8.69043   2     11.76923
      6.75195     -1.56564      9.54631   3     11.79712
      6.75195      1.56564      9.54631   3     11.79712
     -1.06275    -10.95950     -4.31250   2     11.82530
     -1.06275     10.95950     -4.31250   2     11.82530
      5.60981      0.00000     10.41190   2     11.82699
     -1.08003     -4.69692     10.80600   2     11.83204
     -1.08003      4.69692     10.80600   2     11.83204
      3.56387    -10.95950      2.76952   2     11.85251
      3.56387     10.95950      2.76952   2     11.85251
     -2.21191    -10.95950      3.97976   3     11.86767
     -2.21191     10.95950      3.97976   3     11.86767
      2.04027    -10.95950      4.09873   3     11.87741
      2.04027     10.95950      4.09873   3     11.87741
     -4.09217    -10.95950      2.20844   3     11.90520
     -4.09217     10.95950      2.20844   3     11.90520
      5.62709     -9.39384     -4.70656   2     11.91890
      5.62709      9.39384     -4.70656   2     11.91890
     -8.47713     -7.82820     -3.05241   3     11.93565
     -8.47713      7.82820     -3.05241   3     11.93565
     -2.96611     -9.39384     -6.79559   2     11.96754
     -2.96611      9.39384     -6.79559   2     11.96754
      4.68452    -10.95950      1.13266   3     11.97240
      4.68452     10.95950      1.13266   3     11.97240
     -8.60925     -6.26256     -5.49110   3     11.97877
     -8.60925      6.26256     -5.49110   3     11.97877
     -8.59861     -4.69692      6.89811   3     11.98253
     -8.59861      4.69692      6.89811   3     11.98253
     -1.20695      0.00000     -1.61451   2      2.01578
     -0.95855     -1.56564      0.85548   2      2.02531
     -0.95855      1.56564      0.85548   2      2.02531
     -2.03211      0.00000      1.50928   3      2.53128
      0.13212     -1.56564      2.43869   3      2.90102
      0.13212      1.56564      2.43869   3      2.90102
