 # r       w_scrn(r)      v_ch(r)
    0.3499376824E+00    0.1055278534E+01    0.2802400252E+01
    0.3678793710E+00    0.9448328389E+00    0.2676368513E+01
    0.3867409497E+00    0.8400494303E+00    0.2554304767E+01
    0.4065695822E+00    0.7412260706E+00    0.2436374788E+01
    0.4274148504E+00    0.6486037291E+00    0.2322697654E+01
    0.4493288784E+00    0.5623686358E+00    0.2213347663E+01
    0.4723664626E+00    0.4826466464E+00    0.2108357228E+01
    0.4965852091E+00    0.4095069122E+00    0.2007720585E+01
    0.5220456772E+00    0.3429577911E+00    0.1911398099E+01
    0.5488115314E+00    0.2829519820E+00    0.1819320967E+01
    0.5769497003E+00    0.2293838379E+00    0.1731396072E+01
    0.6065305440E+00    0.1820955651E+00    0.1647510806E+01
    0.6376280300E+00    0.1408763580E+00    0.1567537671E+01
    0.6703199182E+00    0.1054695984E+00    0.1491338508E+01
    0.7046879553E+00    0.7557374886E-01    0.1418768261E+01
    0.7408180794E+00    0.5085028582E-01    0.1349678201E+01
    0.7788006345E+00    0.3092671832E-01    0.1283918596E+01
    0.8187305969E+00    0.1540505867E-01    0.1221340837E+01
    0.8607078123E+00    0.3866499424E-02    0.1161799058E+01
    0.9048372455E+00   -0.4120071847E-02    0.1105151316E+01
    0.9512292431E+00   -0.8992064187E-02    0.1051260386E+01
    0.9999998093E+00   -0.1118530188E-01    0.9999942623E+00
    0.1051270896E+01   -0.1112774208E-01    0.9512264161E+00
    0.1105170707E+01   -0.9232918139E-02    0.9048358828E+00
    0.1161834021E+01   -0.5894135054E-02    0.8607072255E+00
    0.1221402525E+01   -0.1479906548E-02    0.8187304152E+00
    0.1284025172E+01    0.3670556280E-02    0.7788006611E+00
    0.1349858550E+01    0.9249808985E-02    0.7408182109E+00
    0.1419067278E+01    0.1498510034E-01    0.7046881378E+00
    0.1491824413E+01    0.2063879584E-01    0.6703201234E+00
    0.1568311886E+01    0.2600979692E-01    0.6376282431E+00
    0.1648720956E+01    0.3093254928E-01    0.6065307572E+00
    0.1733252687E+01    0.3527702674E-01    0.5769499094E+00
    0.1822118453E+01    0.3894666742E-01    0.5488117341E+00
    0.1915540464E+01    0.4187728831E-01    0.5220458724E+00
    0.2013752323E+01    0.4403461002E-01    0.4965853963E+00
    0.2116999613E+01    0.4541178772E-01    0.4723666417E+00
    0.2225540504E+01    0.4599970836E-01    0.4493290493E+00
    0.2339646406E+01    0.4585998648E-01    0.4274150134E+00
    0.2459602642E+01    0.4507582584E-01    0.4065697374E+00
    0.2585709166E+01    0.4374945486E-01    0.3867410974E+00
    0.2718281310E+01    0.4199839408E-01    0.3678795116E+00
