natx =      526
    x       y        z       iph  
     -0.99845     -6.21312     -1.77059   1      6.53718
     -0.99845      6.21312     -1.77059   1      6.53718
     -2.19022     -1.55328     -5.97082   2      6.54679
     -2.19022      1.55328     -5.97082   2      6.54679
      5.85437     -3.10656      0.48370   1      6.64517
      5.85437      3.10656      0.48370   1      6.64517
     -2.10652      0.00000      6.34686   2      6.68731
     -1.94424     -6.21312      1.58770   2      6.70102
     -1.94424      6.21312      1.58770   2      6.70102
     -4.23789     -4.65984      2.30273   2      6.70644
     -4.23789      4.65984      2.30273   2      6.70644
      1.19079      0.00000     -6.61746   1      6.72375
      4.87472     -4.65984      1.20728   2      6.85088
      4.87472      4.65984      1.20728   2      6.85088
     -5.73778     -1.55328      3.65099   1      6.97600
     -5.73778      1.55328      3.65099   1      6.97600
      2.58106     -6.21312      1.92232   2      6.99715
      2.58106      6.21312      1.92232   2      6.99715
     -6.81895     -1.55328      0.38041   2      7.00396
     -6.81895      1.55328      0.38041   2      7.00396
      6.81895     -1.55328     -0.38041   2      7.00396
      6.81895      1.55328     -0.38041   2      7.00396
      1.08117     -6.21312      3.27058   1      7.10412
      1.08117      6.21312      3.27058   1      7.10412
     -4.57797      0.00000     -5.46349   2      7.12794
     -4.68758     -3.10656      4.42454   2      7.15546
     -4.68758      3.10656      4.42454   2      7.15546
     -6.62564      0.00000      2.81006   2      7.19691
     -6.88197      0.00000     -2.29348   2      7.25407
     -1.14194     -4.65984      5.48275   1      7.28551
     -1.14194      4.65984      5.48275   1      7.28551
      7.01227      0.00000      2.04923   2      7.30556
     -2.10652     -3.10656      6.34686   2      7.37365
     -2.10652      3.10656      6.34686   2      7.37365
     -0.17263     -1.55328      7.21413   2      7.38147
     -0.17263      1.55328      7.21413   2      7.38147
      1.19079     -3.10656     -6.61746   1      7.40672
      1.19079      3.10656     -6.61746   1      7.40672
      6.75594      0.00000     -3.05431   2      7.41428
     -1.99690     -6.21312     -3.54117   2      7.42498
     -1.99690      6.21312     -3.54117   2      7.42498
     -3.07807      0.00000     -6.81175   1      7.47492
      5.78664      0.00000     -4.78570   1      7.50920
      0.30293     -1.55328     -7.45839   2      7.62444
      0.30293      1.55328     -7.45839   2      7.62444
     -3.18769     -6.21312      3.07628   1      7.63071
     -3.18769      6.21312      3.07628   1      7.63071
      5.67702      0.00000      5.10233   1      7.63298
      4.71243     -1.55328      5.96645   2      7.76004
      4.71243      1.55328      5.96645   2      7.76004
      5.82050     -4.65984     -2.15100   1      7.76010
      5.82050      4.65984     -2.15100   1      7.76010
      4.82205     -4.65984     -3.92159   2      7.76821
      4.82205      4.65984     -3.92159   2      7.76821
     -4.57797     -3.10656     -5.46349   2      7.77549
     -4.57797      3.10656     -5.46349   2      7.77549
      2.24099     -4.65984     -5.84391   2      7.80304
      2.24099      4.65984     -5.84391   2      7.80304
     -0.16229     -6.21312      4.75916   2      7.82808
     -0.16229      6.21312      4.75916   2      7.82808
     -6.62564     -3.10656      2.81006   2      7.83877
     -6.62564      3.10656      2.81006   2      7.83877
      4.62874      0.00000     -6.35123   2      7.85897
     -0.96459     -7.76640      0.86412   1      7.87363
     -0.96459      7.76640      0.86412   1      7.87363
     -7.78354      0.00000      1.24453   1      7.88241
     -2.19022     -4.65984     -5.97082   2      7.88428
     -2.19022      4.65984     -5.97082   2      7.88428
     -6.88197     -3.10656     -2.29348   2      7.89128
     -6.88197      3.10656     -2.29348   2      7.89128
      7.01227     -3.10656      2.04923   2      7.93864
      7.01227      3.10656      2.04923   2      7.93864
      4.88507     -6.21312     -1.24769   2      8.00147
      4.88507      6.21312     -1.24769   2      8.00147
      6.75594     -3.10656     -3.05431   2      8.03880
      6.75594      3.10656     -3.05431   2      8.03880
     -1.93389     -7.76640     -0.86728   2      8.05041
     -1.93389      7.76640     -0.86728   2      8.05041
     -0.05267     -6.21312     -5.12887   2      8.05673
     -0.05267      6.21312     -5.12887   2      8.05673
     -7.81741     -1.55328     -1.39017   1      8.09056
     -7.81741      1.55328     -1.39017   1      8.09056
     -3.07807     -3.10656     -6.81175   1      8.09476
     -3.07807      3.10656     -6.81175   1      8.09476
      6.65667     -1.55328      4.37875   2      8.11772
      6.65667      1.55328      4.37875   2      8.11772
      5.78664     -3.10656     -4.78570   1      8.12643
      5.78664      3.10656     -4.78570   1      8.12643
      0.19331     -7.76640      2.42964   2      8.13987
      0.19331      7.76640      2.42964   2      8.13987
     -1.10807      0.00000      8.11745   1      8.19273
     -0.06302     -7.76640     -2.67390   2      8.21405
     -0.06302      7.76640     -2.67390   2      8.21405
      5.67702     -3.10656      5.10233   1      8.24094
      5.67702      3.10656      5.10233   1      8.24094
     -5.73778     -4.65984      3.65099   1      8.24415
     -5.73778      4.65984      3.65099   1      8.24415
      3.74088     -1.55328     -7.19216   1      8.25433
      3.74088      1.55328     -7.19216   1      8.25433
     -6.81895     -4.65984      0.38041   2      8.26782
     -6.81895      4.65984      0.38041   2      8.26782
      6.81895     -4.65984     -0.38041   2      8.26782
      6.81895      4.65984     -0.38041   2      8.26782
      2.69068      0.00000     -7.96572   2      8.40788
      4.62874     -3.10656     -6.35123   2      8.45068
      4.62874      3.10656     -6.35123   2      8.45068
      4.51912     -6.21312      3.53680   2      8.45779
      4.51912      6.21312      3.53680   2      8.45779
     -7.78354     -3.10656      1.24453   1      8.47249
     -7.78354      3.10656      1.24453   1      8.47249
     -6.87162     -1.55328     -4.74846   2      8.49586
     -6.87162      1.55328     -4.74846   2      8.49586
     -1.83462      0.00000     -8.30034   2      8.50067
     -5.62817     -1.55328     -6.23704   1      8.54340
     -5.62817      1.55328     -6.23704   1      8.54340
      5.85437     -6.21312      0.48370   1      8.55047
      5.85437      6.21312      0.48370   1      8.55047
      7.90013     -1.55328      2.89016   1      8.55440
      7.90013      1.55328      2.89016   1      8.55440
     -0.17263     -4.65984      7.21413   2      8.58997
     -0.17263      4.65984      7.21413   2      8.58997
     -1.10807     -3.10656      8.11745   1      8.76194
     -1.10807      3.10656      8.11745   1      8.76194
     -8.75284      0.00000     -0.48686   2      8.76637
     -4.12828     -1.55328     -7.58530   2      8.77452
     -4.12828      1.55328     -7.58530   2      8.77452
      0.30293     -4.65984     -7.45839   2      8.79963
      0.30293      4.65984     -7.45839   2      8.79963
     -6.98124     -1.55328      5.13958   2      8.80714
     -6.98124      1.55328      5.13958   2      8.80714
     -7.85127      0.00000     -4.02487   1      8.82281
      6.76629     -1.55328     -5.50929   2      8.86271
      6.76629      1.55328     -5.50929   2      8.86271
      4.71243     -4.65984      5.96645   2      8.91738
      4.71243      4.65984      5.96645   2      8.91738
     -4.68758     -6.21312      4.42454   2      8.95281
     -4.68758      6.21312      4.42454   2      8.95281
      2.69068     -3.10656     -7.96572   2      8.96344
      2.69068      3.10656     -7.96572   2      8.96344
      3.63126     -7.76640      2.69587   1      8.98725
      3.63126      7.76640      2.69587   1      8.98725
     -1.03232     -7.76640     -4.40529   1      8.98828
     -1.03232      7.76640     -4.40529   1      8.98828
     -2.29983     -7.76640      3.91722   2      8.99727
     -2.29983      7.76640      3.91722   2      8.99727
      2.13137     -7.76640      4.04413   2      9.01192
      2.13137      7.76640      4.04413   2      9.01192
     -1.83462     -3.10656     -8.30034   2      9.05054
     -1.83462      3.10656     -8.30034   2      9.05054
     -8.76319     -1.55328      1.96811   2      9.11480
     -8.76319      1.55328      1.96811   2      9.11480
     -2.10652     -6.21312      6.34686   2      9.12814
     -2.10652      6.21312      6.34686   2      9.12814
     -4.23789     -7.76640      2.30273   2      9.14217
     -4.23789      7.76640      2.30273   2      9.14217
      1.19079     -6.21312     -6.61746   1      9.15487
      1.19079      6.21312     -6.61746   1      9.15487
     -0.85497     -1.55328     -9.02392   1      9.19645
     -0.85497      1.55328     -9.02392   1      9.19645
     -7.81741     -4.65984     -1.39017   1      9.20644
     -7.81741      4.65984     -1.39017   1      9.20644
      6.65667     -4.65984      4.37875   2      9.23032
      6.65667      4.65984      4.37875   2      9.23032
      4.87472     -7.76640      1.20728   2      9.24864
      4.87472      7.76640      1.20728   2      9.24864
     -8.75284     -3.10656     -0.48686   2      9.30054
     -8.75284      3.10656     -0.48686   2      9.30054
      0.00000     -9.31968      0.00000   2      9.31968
      0.00000      9.31968      0.00000   2      9.31968
      3.74088     -4.65984     -7.19216   1      9.35069
      3.74088      4.65984     -7.19216   1      9.35069
     -7.85127     -3.10656     -4.02487   1      9.35376
     -7.85127      3.10656     -4.02487   1      9.35376
     -2.04350     -1.55328      9.02076   2      9.37884
     -2.04350      1.55328      9.02076   2      9.37884
     -4.57797     -6.21312     -5.46349   2      9.45571
     -4.57797      6.21312     -5.46349   2      9.45571
     -8.81586     -1.55328     -3.16076   2      9.49329
     -8.81586      1.55328     -3.16076   2      9.49329
     -6.62564     -6.21312      2.81006   2      9.50781
     -6.62564      6.21312      2.81006   2      9.50781
      6.64632      0.00000      6.83372   2      9.53275
     -0.99845     -9.31968     -1.77059   1      9.53878
     -0.99845      9.31968     -1.77059   1      9.53878
     -6.88197     -6.21312     -2.29348   2      9.55115
     -6.88197      6.21312     -2.29348   2      9.55115
     -6.87162     -4.65984     -4.74846   2      9.56458
     -6.87162      4.65984     -4.74846   2      9.56458
     -1.14194     -7.76640      5.48275   1      9.57505
